,Expiry,Time to maturity,Strike price,Option market price,Implied Volatility,Local Volatility,Dupire-Price
0,42874,0.019178082191780823,148.0,8.149999618999999,0.17341399101532431,1.4431037289630007,16.6
1,42874,0.019178082191780823,149.0,7.2899999620000004,0.23117798751407273,1.433418699004919,15.96
2,42874,0.019178082191780823,150.0,6.309999942999999,0.21150759210526537,1.4238627687570387,15.33
3,42874,0.019178082191780823,152.5,4.039999962,0.1890005520869461,1.400521238229514,13.82
4,42874,0.019178082191780823,155.0,2.109999895,0.17147240495789967,1.3779327320313197,12.4
5,42874,0.019178082191780823,157.5,0.889999986,0.17002738673432227,1.3560612199180744,11.06
6,42874,0.019178082191780823,160.0,0.360000014,0.183616717130156,1.3348732063713584,9.81
7,42874,0.019178082191780823,162.5,0.159999996,0.20405002801724542,1.3143371182813537,8.64
8,42874,0.019178082191780823,165.0,0.10000000099999999,0.23677377403082603,1.2944233232736126,7.57
9,42874,0.019178082191780823,167.5,0.07,0.2696446013160675,1.2751039331931173,6.59
10,42902,0.0958904109589041,135.0,21.26000023,0.1721906730710271,1.5820658436579218,40.0
11,42902,0.0958904109589041,140.0,16.5,0.22306107693498942,1.5255648139369187,36.49
12,42902,0.0958904109589041,145.0,11.77000046,0.1992579835443391,1.4729603521028942,33.14
13,42902,0.0958904109589041,150.0,7.429999828,0.1809635886553344,1.4238627446852683,29.94
14,42902,0.0958904109589041,155.0,3.960000038,0.17095478094543037,1.3779326870005633,26.91
15,42902,0.0958904109589041,160.0,1.7799999709999998,0.16978416193371207,1.3348732246982002,24.05
16,42902,0.0958904109589041,165.0,0.7300000190000001,0.17576130264505305,1.2944232950358072,21.36
17,42902,0.0958904109589041,170.0,0.310000002,0.1874514693811186,1.256352777061028,18.86
18,42902,0.0958904109589041,175.0,0.159999996,0.2058708822668623,1.2204576525528554,16.54
19,42902,0.0958904109589041,180.0,0.079999998,0.22035314381894217,1.186556687010365,14.4
21,42937,0.1917808219178082,140.0,16.94000053,0.19045712980306984,1.525564812015816,47.42
22,42937,0.1917808219178082,145.0,12.56999969,0.18519572442572635,1.4729603356129308,44.01
23,42937,0.1917808219178082,150.0,8.75,0.18231572794588694,1.4238627155209616,40.73
24,42937,0.1917808219178082,155.0,5.4499998089999995,0.17277426730949025,1.3779326758671315,37.57
25,42937,0.1917808219178082,160.0,3.180000067,0.17191622553724306,1.3348731749377079,34.56
26,42937,0.1917808219178082,165.0,1.6900000569999998,0.17122120664730592,1.2944232881208375,31.68
27,42937,0.1917808219178082,170.0,0.889999986,0.17540426485112257,1.256352735708888,28.93
28,42937,0.1917808219178082,175.0,0.46000000799999996,0.1804580644241014,1.2204576489932815,26.33
29,42937,0.1917808219178082,180.0,0.25,0.18796855743373944,1.1865566741069846,23.88
30,42965,0.2684931506849315,135.0,22.42000008,0.23077127434359118,1.5820657999890955,57.71
31,42965,0.2684931506849315,140.0,17.5,0.19202469355704715,1.5255647812494422,54.14
32,42965,0.2684931506849315,145.0,13.68000031,0.20226102837186696,1.4729602958457138,50.68
33,42965,0.2684931506849315,150.0,10.13000011,0.1996949655066418,1.4238627300412467,47.34
34,42965,0.2684931506849315,155.0,7.059999942999999,0.1942064102064531,1.3779326797787508,44.12
35,42965,0.2684931506849315,160.0,4.690000057,0.19139230107742672,1.3348731422332714,41.01
36,42965,0.2684931506849315,165.0,2.960000038,0.18964159041509754,1.2944232744498885,38.03
37,42965,0.2684931506849315,170.0,1.7899999619999998,0.18914842543175278,1.2563527630661127,35.18
38,42965,0.2684931506849315,175.0,1.070000052,0.19098012606919018,1.2204576216181762,32.45
39,42965,0.2684931506849315,180.0,0.610000014,0.19200547999889547,1.186556641037625,29.85
40,42993,0.3452054794520548,135.0,22.0,0.16256123911253834,1.5820657909311555,63.44
41,42993,0.3452054794520548,140.0,18.29000092,0.2030576050276786,1.525564767909807,59.84
42,42993,0.3452054794520548,145.0,14.0,0.18657383051091225,1.4729602788262537,56.34
43,42993,0.3452054794520548,150.0,10.80000019,0.19381141529844315,1.4238626788261892,52.95
44,42993,0.3452054794520548,155.0,7.849999905,0.191112393088437,1.377932656890723,49.67
45,42993,0.3452054794520548,160.0,5.5,0.1895753051133834,1.3348731169748322,46.51
46,42993,0.3452054794520548,165.0,3.700000048,0.18826684655893947,1.2944232728278153,43.45
47,42993,0.3452054794520548,170.0,2.420000076,0.1882200373998694,1.2563527340465197,40.51
48,42993,0.3452054794520548,175.0,1.5399999619999998,0.18872294433768824,1.2204575910745685,37.69
49,42993,0.3452054794520548,180.0,0.9599999790000001,0.18975947975978077,1.186556652308775,34.99
